id,question,ex_or_im,story_section,reference_answer1,reference_answer2,generated_answer,rouge1_a1,rouge2_a1,rougeL_a1,rougeLsum_a1,rouge1_a2,rouge2_a2,rougeL_a2,rougeLsum_a2,bleu_a1,precisions_a1,brevity_penalty_a1,length_ratio_a1,translation_length_a1,reference_length_a1,bleu_a2,precisions_a2,brevity_penalty_a2,length_ratio_a2,translation_length_a2,reference_length_a2,bleurt_score_a1,bleurt_score_a2
125,what happened after ian opened the lid of the box ?,explicit,"the third sister was very kind , but had no counsel to give him , so he ate and drank and waited till her son came home , after he had sent all the birds to sleep . he thought a long while after his mother had told him the young man 's story , and at last he said that he was hungry , and the cow must be killed , as he wanted some supper . so the cow was killed and the meat cooked , and a bag made of its red skin . ' now get into the bag , ' bade the son , and the young man got in and took his gu","three tiny little birds flew out , and flapping their wings they asked , ' good master , is there anything we can do for thee ? ' .",three little tiny birds flew out .,The fisher 's son flew out,0.14285714285714288,0.07692307692307693,0.14285714285714288,0.14285714285714288,0.3333333333333333,0.20000000000000004,0.3333333333333333,0.3333333333333333,0.0062903162017447205,"[0.42857142857142855, 0.3333333333333333, 0.2, 0.25]",0.0216373707194931,0.20689655172413793,6,29,0.24608524656663955,"[0.42857142857142855, 0.3333333333333333, 0.2, 0.25]",0.846481724890614,0.8571428571428571,6,7,-1.388874,-0.9229197
126,what did the king's daughters play ?,explicit,"there was much gladness between the sea king and the happy hunter , and they sat and talked for a long time . at last the sea king clapped his hands , and then a huge retinue of fishes appeared , all robed in ceremonial garments , and bearing in their fins various trays on which all kinds of sea delicacies were served . a great feast was now spread before the king and his royal guest . all the fishes - in - waiting were chosen from amongst the finest fish in the sea , so you can imagine what a w",koto .,koto .,The koto ( the japanese harp ),0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.18575057999133598,"[0.25, 0.14285714285714285, 0.16666666666666666, 0.2]",1.0,3.5,7,2,0.18575057999133598,"[0.25, 0.14285714285714285, 0.16666666666666666, 0.2]",1.0,3.5,7,2,-0.878926,-0.878926
127,why did snorro want to find the hidden carbuncle ?,explicit,"but all the time they never guessed the real reason why snorro chose to live in the dwarfie stone . i will tell you why he did so . not very far from the stone there was a curious hill , shaped exactly like a wart . it was known as the wart hill of hoy , and men said that somewhere in the side of it was hidden a wonderful carbuncle , which , when it was found , would bestow on its finder marvellous magic gifts -- health , wealth , and happiness . everything , in fact , that a human being could d","it would bestow on its finder marvellous magic gifts -- health , wealth , and happiness .","when it was found , would bestow on its finder marvellous magic gifts -- health , wealth , and happiness .",None of the above choices .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035316782215334214,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",0.15987974607969396,0.35294117647058826,6,17,0.01813224057849837,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",0.0820849986238988,0.2857142857142857,6,21,-1.5433948,-1.523763
128,where did the gentleman meet the old woman ?,explicit,"the young man raised his head as if to reply , but the king would not listen , and commanded his guards to put him under arrest , adding , however , that if the prisoner wished to visit any part of the city , he was at liberty to do so properly guarded , and in fifteen days he would be brought to trial before the highest judges in the land . the young man left the king 's presence , surrounded by soldiers , and accompanied by many of his friends , for he was a great favourite . by their advice h",near the gate of a monastery .,near the gate of a monastery .,near the gate of a monastery,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.846481724890614,"[1.0, 1.0, 1.0, 1.0]",0.846481724890614,0.8571428571428571,6,7,0.846481724890614,"[1.0, 1.0, 1.0, 1.0]",0.846481724890614,0.8571428571428571,6,7,0.87258744,0.87258744
129,where did the fisherman live ?,explicit,"there was once a fisherman who was called salmon , and his christian name was matte . he lived by the shore of the big sea ; where else could he live ? he had a wife called maie ; could you find a better name for her ? in winter they dwelt in a little cottage by the shore , but in spring they flitted to a red rock out in the sea and stayed there the whole summer until it was autumn . the cottage on the rock was even smaller than the other ; it had a wooden bolt instead of an iron lock to the doo",by the shore of the big sea .,by the shore of the big sea .,The fisherman lived by the shore of the big sea,0.8235294117647058,0.8,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8,0.8235294117647058,0.8235294117647058,0.6786502681586726,"[0.7272727272727273, 0.7, 0.6666666666666666, 0.625]",1.0,1.25,10,8,0.6786502681586726,"[0.7272727272727273, 0.7, 0.6666666666666666, 0.625]",1.0,1.25,10,8,-0.37389967,-0.37389967
130,how did the farmer feel when the bonze did not go ?,explicit,"once upon a time there was a farmer who had carted pears to market . since they were very sweet and fragrant , he hoped to get a good price for them . a bonze with a torn cap and tattered robe stepped up to his cart and asked for one . the farmer repulsed him , but the bonze did not go . then the farmer grew angry and began to call him names . the bonze said : "" you have pears by the hundred in your cart . i only ask for one . surely that does you no great injury . why suddenly grow so angry abo",angry .,angry .,angry,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.36787944117144233,"[1.0, 1.0, 1.0, 1.0]",0.36787944117144233,0.5,1,2,0.36787944117144233,"[1.0, 1.0, 1.0, 1.0]",0.36787944117144233,0.5,1,2,0.90101016,0.90101016
131,why was the king disappointed in his son ?,explicit,"the king had listened attentively to the story , and when it was ended he said : ' i suppose the prince had no arms with him , or else he would have used them ? ' ' yes , sire , he had arms ; he always carries a dagger in his belt . but when he saw the blood pouring from his face , he went to a corner of the court and began to cry , which was the strangest thing of all . ' on hearing this the king walked to the window and stood for a few minutes with his back to the room , where the company of y",he suffered such an injury without attempting to avenge it .,he would suffer an injury without attempting to avenge it .,None of the above choices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0691466264618537,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.301194211912202,0.45454545454545453,5,11,0.0691466264618537,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.301194211912202,0.45454545454545453,5,11,-1.3138741,-1.3188503
132,what kind of customer was the older son ?,explicit,"there was once a rich peasant who had two sons , named john nicholas and lucky andrew . the oldest was one of those fellows of whom one never can quite make head or tail . he was a most unpleasant customer to deal with , and he was more grasping and greedy than the folk of the northland are , as a rule , though it is only too rare to find them unblessed with these attractive qualities . the other , lucky andrew , was wild and high spirited , but always good natured , and no matter how badly off ",unpleasant .,a most unpleasant customer .,None of the above choices .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22089591134157885,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",1.0,3.0,6,2,0.22089591134157885,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",1.0,1.2,6,5,-1.5473123,-1.3579283
133,how did the hook get stuck in tai's throat ?,explicit,"without waiting for the king 's order the cuttlefish had already started for the tai 's dwelling , and he now returned , bringing the tai with him . he led him before the king . the tai sat there looking frightened and ill . he certainly was in pain , for his usually red face was pale , and his eyes were nearly closed and looked but half their usual size . "" answer , o tai ! "" cried the sea king , "" why did you not come in answer to my summons today ? "" "" i have been ill since yesterday , "" answ",he heedlessly snapped at the bait and the hook came off .,"he heedlessly snapped at the bait which he saw in the water , the hook came off and stuck .",The hook got stuck in tai's throat,0.2105263157894737,0.11764705882352941,0.2105263157894737,0.2105263157894737,0.30769230769230765,0.08333333333333333,0.23076923076923078,0.23076923076923078,0.0909326471926252,"[0.25, 0.14285714285714285, 0.16666666666666666, 0.2]",0.48954165955695317,0.5833333333333334,7,12,0.034485837896937335,"[0.5, 0.14285714285714285, 0.16666666666666666, 0.2]",0.15611804531597107,0.35,7,20,-0.7177617,-0.9206026
134,what did the jewel of the flowing tide do ?,explicit,"long , long ago , in old japan , the kingdom of the sea was governed by a wonderful king . he was called rin jin , or the dragon king of the sea . his power was immense , for he was the ruler of all sea creatures both great and small , and in his keeping were the jewels of the ebb and flow of the tide . the jewel of the ebbing tide when thrown into the ocean caused the sea to recede from the land , and the jewel of the flowing tide made the waves to rise mountains high and to flow in upon the sh",made the waves to rise mountains high and to flow upon the shore like a tidal wave .,made the waves to rise mountains high and to flow in upon the shore like a tidal wave .,The jewel of the flowing tide made the waves to rise mountains high and to flow in upon the shore like a tidal wave,0.8292682926829268,0.7692307692307693,0.8292682926829268,0.8292682926829268,0.8571428571428571,0.85,0.8571428571428571,0.8571428571428571,0.6318296475144833,"[0.72, 0.6666666666666666, 0.6086956521739131, 0.5454545454545454]",1.0,1.3333333333333333,24,18,0.7440006427141954,"[0.76, 0.75, 0.7391304347826086, 0.7272727272727273]",1.0,1.263157894736842,24,19,0.1708388,0.16827784
135,what happened when the savory smell of frying bacon reached their noses ?,explicit,"all was silent in the village , and not a light was to be seen but that of the moon , which shone bright and clear in the sky . the wolf and the fox crept softly along , when suddenly they stopped and looked at each other ; a savoury smell of frying bacon reached their noses , and reached the noses of the sleeping dogs , who began to bark greedily . ' is it safe to go on , think you ? ' asked the wolf in a whisper . and the fox shook her head . ' not while the dogs are barking , ' said she ; ' s",the wolf and fox suddenly stopped and looked at each other and the sleeping dogs began to bark .,they stopped and looked at each other .,None of the above choices,0.08695652173913045,0.0,0.08695652173913045,0.08695652173913045,0.0,0.0,0.0,0.0,0.01660188206357524,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.06081006262521795,0.2631578947368421,5,19,0.1259933680597235,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.5488116360940264,0.625,5,8,-1.7992319,-1.1036875
136,how will harold feel after he sees that the love-potion is not working ?,explicit,"they opened the casement , and with a hoarse croak the creature let the packet drop on to the floor ; then it flapped its great wings and rose slowly into the air again its head turned in the direction of hoy . with fingers that trembled with excitement they broke the seals and undid the packet . it contained a piece of the most beautiful material that anyone could possibly imagine , woven in all the colours of the rainbow , and sparkling with gold and jewels . "" twill make a bonnie waistcoat , ",angry and disappointed .,angry and disappointed .,he will feel sad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3021375397356768,"[0.2, 0.25, 0.3333333333333333, 0.5]",1.0,1.0,4,4,0.3021375397356768,"[0.2, 0.25, 0.3333333333333333, 0.5]",1.0,1.0,4,4,-0.15977223,-0.15977223
137,what happened after the king returned to the cottage ?,explicit,"' one day , shortly after the death of the queen , ' continued the young man , ' your highness was hunting , and outstripped all your attendants while chasing the deer . you were in a part of the country which you did not know , so seeing an orchard all pink and white with apple - blossoms , and a girl tossing a ball in one corner , you went up to her to ask your way . but when she turned to answer you , you were so struck with her beauty that all else fled from your mind . again and again you r","it was empty , and none could inform his where his bride had gone .",it was empty .,The king returned to the cottage and gave her three rings and a charm with a cross on it,0.125,0.0,0.0625,0.0625,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0712695567709093,"[0.15, 0.05263157894736842, 0.05555555555555555, 0.058823529411764705]",1.0,1.2666666666666666,19,15,0.06439931429457924,"[0.1, 0.05263157894736842, 0.05555555555555555, 0.058823529411764705]",1.0,4.75,19,4,-1.4219785,-2.2600837
138,who did the queen confess the truth to ?,explicit,"the hall was full to overflowing when the prisoner entered it , and all marvelled at the brightness of his face . the king inquired if he had any excuse to plead for the high treason he had committed by striking the heir to the throne , and , if so , to be quick in setting it forth . with a low bow the youth made answer in a clear voice : ' o my lord and gracious king , and you , nobles and wise men of the land , i leave my cause without fear in your hands , knowing that you will listen and judg",the priest .,a priest .,The queen confessed the truth to a priest,0.4,0.0,0.4,0.4,0.4,0.25,0.4,0.4,0.17747405280050269,"[0.3333333333333333, 0.125, 0.14285714285714285, 0.16666666666666666]",1.0,2.6666666666666665,8,3,0.21105340631872638,"[0.3333333333333333, 0.25, 0.14285714285714285, 0.16666666666666666]",1.0,2.6666666666666665,8,3,-0.9891088,-0.82535684
139,where did the old woman live ?,explicit,"then the prince said to her , ' you can hardly walk ; i will put you on my horse and lead you home . where do you live ? ' ' over there , at the edge of the forest in the little hut you see in the distance , ' replied the old woman . the prince lifted her on to his horse , and soon they reached the hut , where the old woman got down , and turning to the prince said , ' just wait a moment , and i will give you something . ' and she disappeared into her hut , but returned very soon and said , ' yo",in the little hut .,at the edge of the forest in the little hut .,At the edge of the forest in the little hut,0.5714285714285715,0.5,0.5714285714285715,0.5714285714285715,1.0,1.0,1.0,1.0,0.35084396956386854,"[0.45454545454545453, 0.4, 0.3333333333333333, 0.25]",1.0,2.0,10,5,0.8081591428066641,"[0.9090909090909091, 0.9, 0.8888888888888888, 0.875]",0.9048374180359595,0.9090909090909091,10,11,-0.05624187,0.80473524
140,who was a sword hero ?,explicit,"old dragonbeard must have been a master swordsman standing midway between those of the first and of the second order . molo , however , of whom this story tells , was a sword hero . at that time there lived a young man named tsui , whose father was a high official and the friend of the prince . and the father once sent his son to visit his princely friend , who was ill . the son was young , handsome and gifted . he went to carry out his father 's instructions . when he entered the prince 's pala",molo .,molo .,old dragonbeard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6389431042462724,"[0.3333333333333333, 0.5, 1.0, 1.0]",1.0,1.0,2,2,0.6389431042462724,"[0.3333333333333333, 0.5, 1.0, 1.0]",1.0,1.0,2,2,-0.8725363,-0.8725363
141,how did the man feel after all that had happened ?,explicit,"the old man was lost in bewilderment by all that had happened . he hardly knew for some time where he was . when he came to understand what had happened to him , he was delighted to find that the lump on his face , which had for so many years disfigured him , had really been taken away without any pain to himself . he put up his hand to feel if any scar remained , but found that his right cheek was as smooth as his left .",bewilderment .,bewildered .,The man felt bewilderment .,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.35930411196308426,"[0.5, 0.4, 0.25, 0.3333333333333333]",1.0,2.5,5,2,0.2730120862709067,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",1.0,2.5,5,2,-0.09844479,-0.6174986
142,what did the king command the huntsmen to do ?,explicit,"besides these , i want a cloak made of a thousand different kinds of skin ; every animal in your kingdom must give a bit of his skin to it . ' but she thought to herself , ' this will be quite impossible , and i shall not have to marry someone i do not care for . ' the king , however , was not to be turned from his purpose , and he commanded the most skilled maidens in his kingdom to weave the three dresses , one as golden as the sun , and one as silver as the moon , and one as shining as the st",catch one of every kind of beast in the kingdom .,catch one of every kind of beast in the kingdom .,The king commanded the huntsmen to catch one of every kind of beast in the kingdom and to get a bit of its skin to make the cloak of a thousand pieces of fur,0.45454545454545453,0.42857142857142855,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.42857142857142855,0.45454545454545453,0.45454545454545453,0.28175950490399515,"[0.3142857142857143, 0.29411764705882354, 0.2727272727272727, 0.25]",1.0,3.090909090909091,34,11,0.28175950490399515,"[0.3142857142857143, 0.29411764705882354, 0.2727272727272727, 0.25]",1.0,3.090909090909091,34,11,-0.5694965,-0.5694965
143,what did the king tell the huntsmen to do to the beast ?,explicit,"the sun rose and she still slept on and on , although it was nearly noon . now , it happened that the king to whom this wood belonged was hunting in it . when his dogs came to the tree , they sniffed , and ran round and round it , barking . the king said to the huntsmen , ' see what sort of a wild beast is in there . ' the huntsmen went in , and then came back and said , ' in the hollow tree there lies a wonderful animal that we do n't know , and we have never seen one like it ; its skin is made",catch it alive .,see if you can catch it alive .,The huntsmen told the huntsmen to sweep the ashes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11868405219520975,"[0.1, 0.1111111111111111, 0.125, 0.14285714285714285]",1.0,2.25,9,4,0.11868405219520975,"[0.1, 0.1111111111111111, 0.125, 0.14285714285714285]",1.0,1.125,9,8,-1.1624413,-0.8504828
144,how did andrew know meer-folk lived on that island ?,explicit,"but the latter did not lose heart . he gathered drift - wood along the strand , shot sea - birds , and looked for mussels and roots . he built himself a raft of drift - timber , and fished with a pole that had also been left behind . one day , while he was at work , he happened to notice a depression or hollow in the sand , as though made by the keel of a large northland schooner , and he could plainly trace the braidings of the hawsers from the strand up to the top of the island . then he thoug",the report he had often heard .,he happened to notice a depression or hollow in the sand .,andrew lived on that island .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1869843520537038,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",0.846481724890614,0.8571428571428571,6,7,0.0812630644213965,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",0.36787944117144233,0.5,6,12,-1.313137,-1.3905923
145,who was the older son ?,explicit,"there was once a rich peasant who had two sons , named john nicholas and lucky andrew . the oldest was one of those fellows of whom one never can quite make head or tail . he was a most unpleasant customer to deal with , and he was more grasping and greedy than the folk of the northland are , as a rule , though it is only too rare to find them unblessed with these attractive qualities . the other , lucky andrew , was wild and high spirited , but always good natured , and no matter how badly off ",john nicholas .,john nicholas .,lucky andrew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38753858253732953,"[0.3333333333333333, 0.5, 1.0, 1.0]",0.6065306597126334,0.6666666666666666,2,3,0.38753858253732953,"[0.3333333333333333, 0.5, 1.0, 1.0]",0.6065306597126334,0.6666666666666666,2,3,-1.0683393,-1.0683393
146,what were the names of the prince's and princess's children ?,explicit,"they went into the great hall of looking - glasses , where they supped , and were served by the princess 's officers , the violins and hautboys played old tunes , but very excellent , though it was now above a hundred years since they had played ; and after supper , without losing any time , the lord almoner married them in the chapel of the castle , and the chief lady of honor drew the curtains . they had but very little sleep - the princess had no occasion ; and the prince left her next mornin",morning and day .,morning .,the lord almoner and the chief lady of honor,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.14113991930789777,"[0.2, 0.1111111111111111, 0.125, 0.14285714285714285]",1.0,2.25,9,4,0.11868405219520975,"[0.1, 0.1111111111111111, 0.125, 0.14285714285714285]",1.0,4.5,9,2,-1.411471,-1.5257746
147,why did people call harold as harold the orator ?,explicit,"harold , on the other hand , was as different from his brother as night is from day . he was fair - haired and blue - eyed , and he had gained for himself the name of harold the orator , because he was always free of speech and ready with his tongue . but for all this he was not a favourite . for he was haughty , and jealous , and quick - tempered , and the old folks ' eyes did not brighten at the sight of him , and the babes , instead of toddling out to greet him , hid their faces in their moth",he was always free of speech and ready with his tongue .,he was always free of speech and ready with his tongue .,He was always free of speech and ready with his tongue .,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.912167909070388,"[0.9230769230769231, 0.9166666666666666, 0.9090909090909091, 0.9]",1.0,1.0,12,12,0.912167909070388,"[0.9230769230769231, 0.9166666666666666, 0.9090909090909091, 0.9]",1.0,1.0,12,12,1.0447068,1.0447068
148,what did matte and his men send to russia and sweden ?,explicit,"' we shall require a better house , ' said maie the following summer ; ' the old one is too small for ourselves and the men . ' ' yes , ' said matte . so he built a large cottage , with a real lock to the door , and a store - house for fish as well ; and he and his men caught such quantities of fish that they sent tons of salmon , herring , and cod to russian and sweden . ' i am quite overworked with so many folk , ' said maie ; ' a girl to help me would not come amiss . ' ' get one , then , ' s","tons of salmon , herring , and cod .","tons of salmon , herring and cod .","tons of salmon, herring, and cod",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8824969025845955,"[1.0, 1.0, 1.0, 1.0]",0.8824969025845955,0.8888888888888888,8,9,0.6606328636027614,"[0.8888888888888888, 0.75, 0.5714285714285714, 0.5]",1.0,1.0,8,8,0.9037014,0.76834595
149,what were the women about to do at the well ?,explicit,"he said not a word , however , but silently gazed at them through the foliage of the trees , waiting to see what they would do . he saw that in their hands they carried golden buckets . slowly and gracefully in their trailing garments they approached the well , standing in the shade of the katsura trees , and were about to draw water , all unknowing of the stranger who was watching them , for the happy hunter was quite hidden among the branches of the tree where he had posted himself .",draw water .,about to draw water .,They were about to draw water .,0.5,0.33333333333333337,0.5,0.5,0.8,0.7499999999999999,0.8,0.8,0.345720784641941,"[0.5, 0.42857142857142855, 0.3333333333333333, 0.2]",1.0,2.3333333333333335,7,3,0.6803749333171202,"[0.75, 0.7142857142857143, 0.6666666666666666, 0.6]",1.0,1.4,7,5,-0.18406865,0.27002645
150,where was the small village ?,explicit,"at the foot of some high mountains there was , once upon a time , a small village , and a little way off two roads met , one of them going to the east and the other to the west . the villagers were quiet , hard - working folk , who toiled in the fields all day , and in the evening set out for home when the bell began to ring in the little church . in the summer mornings they led out their flocks to pasture , and were happy and contented from sunrise to sunset . one summer night , when a round fu",the foot of some high mountains .,at the foot of some high mountains .,At the foot of some high mountains,0.923076923076923,0.9090909090909091,0.923076923076923,0.923076923076923,1.0,1.0,1.0,1.0,0.8408964152537145,"[0.875, 0.8571428571428571, 0.8333333333333334, 0.8]",1.0,1.0,7,7,0.7289545183625967,"[0.875, 0.8571428571428571, 0.8333333333333334, 0.8]",0.8668778997501817,0.875,7,8,0.49807554,0.8294369
151,what did maie want matte to build ?,explicit,"' art thou satisfied now ? ' said matte to his wife . ' i should be quite satisfied , ' said his wife , ' if only i had two servants to help , and if i had some finer clothes . do n't you know that i am addressed as madam ? ' ' well , well , ' said her husband . so maie got several servants and clothes fit for a great lady . ' everything would now be perfect if only we had a little better dwelling for summer . you might build us a two - storey house , and fetch soil to make a garden . then you m",a two - storey house .,a two - storey house .,a two - storey house,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8187307530779819,"[1.0, 1.0, 1.0, 1.0]",0.8187307530779819,0.8333333333333334,5,6,0.8187307530779819,"[1.0, 1.0, 1.0, 1.0]",0.8187307530779819,0.8333333333333334,5,6,0.9507985,0.9507985
152,who broke out into some dispute about the game ?,explicit,"the king had just awakened from his midday sleep , for it was summer , and everyone rose early and rested from twelve to three , as they do in hot countries . he had dressed himself in cool white clothes , and was passing through the hall on his way to the council chamber , when a number of young nobles suddenly appeared before him , and one amongst them stepped forward and spoke . ' sire , this morning we were all playing tennis in the court , the prince and this gentleman with the rest , when ",the prince and this gentleman .,the prince and this gentleman .,the king,0.28571428571428575,0.0,0.28571428571428575,0.28571428571428575,0.28571428571428575,0.0,0.28571428571428575,0.28571428571428575,0.10283257773094409,"[0.6666666666666666, 0.5, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,2,6,0.10283257773094409,"[0.6666666666666666, 0.5, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,2,6,-0.7141324,-0.7141324
153,what did the king do after the young nobles finished talking ?,explicit,"the king had listened attentively to the story , and when it was ended he said : ' i suppose the prince had no arms with him , or else he would have used them ? ' ' yes , sire , he had arms ; he always carries a dagger in his belt . but when he saw the blood pouring from his face , he went to a corner of the court and began to cry , which was the strangest thing of all . ' on hearing this the king walked to the window and stood for a few minutes with his back to the room , where the company of y",walked to the window and stood for a few minutes with his back to the room .,walked to the window .,The king listened attentively to the story,0.26086956521739124,0.09523809523809522,0.26086956521739124,0.26086956521739124,0.36363636363636365,0.2222222222222222,0.36363636363636365,0.36363636363636365,0.05858545453338479,"[0.375, 0.2857142857142857, 0.16666666666666666, 0.2]",0.23965103644177574,0.4117647058823529,7,17,0.24446151121745047,"[0.375, 0.2857142857142857, 0.16666666666666666, 0.2]",1.0,1.4,7,5,-1.2746896,-1.4133394
154,what was special about the palace of rin jin ?,explicit,"the palace of rin jin was at the bottom of the sea , and was so beautiful that no one has ever seen anything like it even in dreams . the walls were of coral , the roof of jadestone and chrysoprase , and the floors were of the finest mother - of - pearl . but the dragon king , in spite of his wide - spreading kingdom , his beautiful palace and all its wonders , and his power which none disputed throughout the whole sea , was not at all happy , for he reigned alone . at last he thought that if he",was so beautiful that no one has ever seen anything like it even in dreams .,"the walls were of coral , the rood of jadestone and chrysoprase , and the flors were the of the finest mother - of - pearl .",The palace of rin jin was at the bottom of the sea .,0.07407407407407407,0.0,0.07407407407407407,0.07407407407407407,0.29411764705882354,0.0625,0.29411764705882354,0.29411764705882354,0.08392612670891637,"[0.21428571428571427, 0.07692307692307693, 0.08333333333333333, 0.09090909090909091]",0.7939226578179512,0.8125,13,16,0.0509251400427916,"[0.42857142857142855, 0.15384615384615385, 0.08333333333333333, 0.09090909090909091]",0.3406420441574411,0.48148148148148145,13,27,-1.3461642,-1.5847951
155,why didn't the young nobles do anything when the gentleman struck the prince ?,explicit,"the king had just awakened from his midday sleep , for it was summer , and everyone rose early and rested from twelve to three , as they do in hot countries . he had dressed himself in cool white clothes , and was passing through the hall on his way to the council chamber , when a number of young nobles suddenly appeared before him , and one amongst them stepped forward and spoke . ' sire , this morning we were all playing tennis in the court , the prince and this gentleman with the rest , when ",his grandfather the duke stepped between and commanded the young nobles to lay the affair before the king .,the duke stepped between them and commanded them to lay the affair before you .,None of the above choices,0.08695652173913045,0.0,0.08695652173913045,0.08695652173913045,0.10526315789473682,0.0,0.10526315789473682,0.10526315789473682,0.01660188206357524,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.06081006262521795,0.2631578947368421,5,19,0.0369481680224917,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.1353352832366127,0.3333333333333333,5,15,-1.5033288,-1.4192597
156,how will the rich neighbor feel when he sees the giant ?,explicit,"and now the merriment of the rich peasant 's mowers came to an end . for when the giant began to mow and fling about his scythe , they were frightened at the strength he put into his work . and before they knew it he had mown half the meadow .",rage .,scared .,None of the above choices .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22089591134157885,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",1.0,3.0,6,2,0.22089591134157885,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",1.0,3.0,6,2,-1.6395004,-1.3374139
157,who did the boy give the four-shilling piece to ?,explicit,"so the boy had to go out into the wide world , and wandered about far and near looking for service . but wherever he went people found him too small or too weak , and said that they could make no use of him . at last he came to a merchant . there they kept him to work in the kitchen , and he had to fetch wood and water for the cook . when he had been there for some time , the merchant decided to journey to far countries , and asked all his servants what he should buy and bring back home for them",the merchant .,his master .,the little fellow,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.537284965911771,"[0.5, 0.3333333333333333, 0.5, 1.0]",1.0,1.0,3,3,0.4518010018049224,"[0.25, 0.3333333333333333, 0.5, 1.0]",1.0,1.0,3,3,-1.1994717,-1.1568162
158,where did dullhead spend the night ?,explicit,"then dullhead fell to at once to hew down the tree , and when it fell he found amongst its roots a goose , whose feathers were all of pure gold . he lifted it out , carried it off , and took it with him to an inn where he meant to spend the night . now the landlord of the inn had three daughters , and when they saw the goose they were filled with curiosity as to what this wonderful bird could be , and each longed to have one of its golden feathers . the eldest thought to herself : ' no doubt i s",an inn .,an inn .,an inn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6065306597126334,"[1.0, 1.0, 1.0, 1.0]",0.6065306597126334,0.6666666666666666,2,3,0.6065306597126334,"[1.0, 1.0, 1.0, 1.0]",0.6065306597126334,0.6666666666666666,2,3,0.8533475,0.8533475
159,what did matte want to use to pump out the sea ?,explicit,"his wife set out in the new steamer and sang to the sea - king . next morning thirty cows stood on the shore , all finding food for themselves . ' know'st thou , good man , that we are far too cramped on this wretched rock , and where am i to find room for so many cows ? ' ' there is nothing to be done but to pump out the sea . ' ' rubbish ! ' said his wife . ' who can pump out the sea ? ' ' try with thy new steamer , there is a pump in it . ' maie knew well that her husband was only making fun ",the new steamer .,new steamer .,a new steamer,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,0.8,0.8,0.5066641486392105,"[0.75, 0.6666666666666666, 0.5, 1.0]",0.7165313105737893,0.75,3,4,0.7071067811865475,"[0.75, 0.6666666666666666, 0.5, 1.0]",1.0,1.0,3,3,0.5435836,0.6723851
