id,question,ex_or_im,story_section,reference_answer1,reference_answer2,generated_answer,rouge1_a1,rouge2_a1,rougeL_a1,rougeLsum_a1,rouge1_a2,rouge2_a2,rougeL_a2,rougeLsum_a2,bleu_a1,precisions_a1,brevity_penalty_a1,length_ratio_a1,translation_length_a1,reference_length_a1,bleu_a2,precisions_a2,brevity_penalty_a2,length_ratio_a2,translation_length_a2,reference_length_a2,bertscore_f1_a1,bertscore_f1_a2,bleurt_score_a1,bleurt_score_a2
296,what will happen if the many-furred creature drops a hair in the soup ?,explicit,"she had run to her little room and had quickly taken off her dress , made her face and hands black , put on the fur cloak , and was once more the many - furred creature . when she came into the kitchen and was setting about her work of sweeping the ashes together , the cook said to her , ' let that wait till to - morrow , and just cook the king 's soup for me ; i want to have a little peep at the company upstairs ; but be sure that you do not let a hair fall into it , otherwise you will get noth",the many - furred creature will get nothing to eat in future .,you will get nothing to eat in the future ! .,None of the above choices,0.12500000000000003,0.0,0.12500000000000003,0.12500000000000003,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.05512018958855254,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.20189651799465547,0.38461538461538464,5,13,0.08222966016687185,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.301194211912202,0.45454545454545453,5,11,0.8324543237686157,0.8425709009170532,-1.3974926,-1.3865985
297,why did the monkey ask the jelly fish for his name ?,explicit,""" i 'm in luck ! "" thought the jelly fish . "" now i must flatter the creature and try to entice him to come back with me to the palace , and my part will be done ! "" so the jelly fish slowly walked towards the pine - tree . in those ancient days the jelly fish had four legs and a hard shell like a tortoise . when he got to the pine - tree he raised his voice and said : "" how do you do , mr . monkey ? is n't it a lovely day ? "" "" a very fine day , "" answered the monkey from the tree . "" i have ne",he had never seen him in this part of the world before .,he never seen him in this part of the world before .,Because he is a servant of the dragon king,0.28571428571428575,0.10526315789473685,0.28571428571428575,0.28571428571428575,0.3,0.11111111111111112,0.3,0.3,0.1279808802469055,"[0.4, 0.2222222222222222, 0.125, 0.14285714285714285]",0.6411803884299546,0.6923076923076923,9,13,0.1430210741102858,"[0.4, 0.2222222222222222, 0.125, 0.14285714285714285]",0.7165313105737893,0.75,9,12,0.869473397731781,0.8687248826026917,-1.3073871,-1.3601599
298,what happened because of the happy hunter's pleading ?,explicit,"who could resist the pleading of so wise and compassionate a judge ? ryn jin forgave his subject at once at the request of his august guest . the tai was so glad that he shook his fins for joy , and he and all the other fish went out from the presence of their king , praising the virtues of the happy hunter .",ryn jin forgave his subject at once .,ryn jin forgave his subject .,None of the above choices .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15827883685397307,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",0.7165313105737893,0.75,6,8,0.22089591134157885,"[0.2857142857142857, 0.16666666666666666, 0.2, 0.25]",1.0,1.0,6,6,0.826994776725769,0.826435387134552,-1.102196,-1.1386725
299,what was the sea king's palace like ?,explicit,"the happy hunter made all the haste he could , riding on the basket which had been given him by his friend . his queer boat seemed to go through the water of its own accord , and the distance was much shorter than he had expected , for in a few hours he caught sight of the gate and the roof of the sea king 's palace . and what a large place it was , with its numberless sloping roofs and gables , its huge gateways , and its gray stone walls ! he soon landed , and leaving his basket on the beach ,",grand .,wonferful .,The sea king's palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3021375397356768,"[0.2, 0.25, 0.3333333333333333, 0.5]",1.0,2.0,4,2,0.3021375397356768,"[0.2, 0.25, 0.3333333333333333, 0.5]",1.0,2.0,4,2,0.8277055621147156,0.8046454191207886,-1.3671823,-1.2129197
300,what did the jelly fish see on one of the branches ?,explicit,""" well , "" said the chief steward , "" if you depend on your strength or dexterity you will never catch a monkey . the only way is to play a trick on one ! "" "" how can i play a trick on a monkey ? i do n't know how to do it , "" said the perplexed jelly fish . "" this is what you must do , "" said the wily chief steward . "" when you approach the island of monkeys and meet some of them , you must try to get very friendly with one . tell him that you are a servant of the dragon king , and invite him t",a live monkey .,a live monkey .,A live monkey,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5066641486392105,"[0.75, 0.6666666666666666, 0.5, 1.0]",0.7165313105737893,0.75,3,4,0.5066641486392105,"[0.75, 0.6666666666666666, 0.5, 1.0]",0.7165313105737893,0.75,3,4,0.9342477917671204,0.9342477917671204,0.8124294,0.8124294
301,who did the youth meet after stepping shore ?,explicit,"then the son found he had forgotten his handkerchief , and went down to the boat to get it . but no sooner was he in the boat than it moved off with a rush , and no matter how hard the youth worked against it with the oars , it was all in vain . the boat drove on and on , all night long , and at last he came to a white strand , far , far away . he stepped ashore , and after he had gone a while he met an old man with a great , white beard . "" what is this country called ? "" asked the youth . "" wh","a old man with a great , white beard .",an old man with a great white beard .,"The youth met an old man with a great , white beard",0.7368421052631579,0.7058823529411764,0.7368421052631579,0.7368421052631579,0.8421052631578948,0.8235294117647058,0.8421052631578948,0.8421052631578948,0.6479121525090147,"[0.6923076923076923, 0.6666666666666666, 0.6363636363636364, 0.6]",1.0,1.2,12,10,0.5205510363053438,"[0.6923076923076923, 0.5833333333333334, 0.45454545454545453, 0.4]",1.0,1.3333333333333333,12,9,0.947594165802002,0.934184193611145,0.20270321,0.07194713
302,what did the huntsmen say lived in the tree ?,explicit,"the sun rose and she still slept on and on , although it was nearly noon . now , it happened that the king to whom this wood belonged was hunting in it . when his dogs came to the tree , they sniffed , and ran round and round it , barking . the king said to the huntsmen , ' see what sort of a wild beast is in there . ' the huntsmen went in , and then came back and said , ' in the hollow tree there lies a wonderful animal that we do n't know , and we have never seen one like it ; its skin is made",a wonderful animal that they did n't know .,a wonderful animal that we do n't know .,wild beast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019294409903971108,"[0.3333333333333333, 0.5, 1.0, 1.0]",0.0301973834223185,0.2222222222222222,2,9,0.019294409903971108,"[0.3333333333333333, 0.5, 1.0, 1.0]",0.0301973834223185,0.2222222222222222,2,9,0.8371626138687134,0.8388012051582336,-1.0312755,-0.911088
303,what did the happy hunter discover when he drew up his line for the last time ?,explicit,"the whole day passed in this way , while he sat on the rocks holding the fishing rod and waiting in vain for his luck to turn . at last the day began to darken , and the evening came ; still he had caught not a single fish . drawing up his line for the last time before going home , he found that he had lost his hook without even knowing when he had dropped it .",found that he had lost his hook without even knowing when he had dropped it .,he had lost his hook .,He had lost his hook without even knowing when he dropped it,0.888888888888889,0.8,0.888888888888889,0.888888888888889,0.5882352941176471,0.5333333333333333,0.5882352941176471,0.5882352941176471,0.5668239211374448,"[0.9230769230769231, 0.8333333333333334, 0.7272727272727273, 0.7]",0.7165313105737893,0.75,12,16,0.3026643726685863,"[0.46153846153846156, 0.3333333333333333, 0.2727272727272727, 0.2]",1.0,2.0,12,6,0.9603935480117798,0.9254421591758728,0.46820444,0.18115482
304,what did the fisherman promise the head in the water ?,explicit,"once upon a time there was a fisherman , who lived near the king 's castle , and caught fish for the king 's table . one day when he had gone fishing , he could not catch a thing . try as he might , no matter how he baited or flung , not the tiniest fish would bite ; but when this had gone on for a while , a head rose from the water and said : "" if you will give me the first new thing that has come into your house , you shall catch fish a - plenty ! "" then the man agreed quickly , for he could t",the first new thing that came into his house .,to give him the first new thing that has come into his house .,the first thing that has come into your house,0.6666666666666666,0.25,0.6666666666666666,0.6666666666666666,0.7272727272727274,0.5,0.7272727272727274,0.7272727272727274,0.2273485806048418,"[0.7, 0.3333333333333333, 0.125, 0.14285714285714285]",0.8948393168143697,0.9,9,10,0.3435669703363279,"[0.9, 0.6666666666666666, 0.5, 0.42857142857142855]",0.573753420737433,0.6428571428571429,9,14,0.9351350665092468,0.9234569072723389,0.24767116,-0.2716251
305,why did the prince deserve to be rewarded ?,explicit,"then the prince said to her , ' you can hardly walk ; i will put you on my horse and lead you home . where do you live ? ' ' over there , at the edge of the forest in the little hut you see in the distance , ' replied the old woman . the prince lifted her on to his horse , and soon they reached the hut , where the old woman got down , and turning to the prince said , ' just wait a moment , and i will give you something . ' and she disappeared into her hut , but returned very soon and said , ' yo",the prince had a kind heart .,he had a kind heart .,None of the above choices,0.1818181818181818,0.0,0.1818181818181818,0.1818181818181818,0.0,0.0,0.0,0.0,0.1830054742374001,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.6703200460356393,0.7142857142857143,5,7,0.18796001821050234,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.8187307530779819,0.8333333333333334,5,6,0.8524280786514282,0.8417325615882874,-1.2805908,-1.1363385
306,how many cows did maie want ?,explicit,"' art thou satisfied now ? ' said matte to his wife . ' i should be quite satisfied , ' said his wife , ' if only i had two servants to help , and if i had some finer clothes . do n't you know that i am addressed as madam ? ' ' well , well , ' said her husband . so maie got several servants and clothes fit for a great lady . ' everything would now be perfect if only we had a little better dwelling for summer . you might build us a two - storey house , and fetch soil to make a garden . then you m",thirty cows .,thirty cows .,thirty,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.1353352832366127,"[1.0, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,1,3,0.1353352832366127,"[1.0, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,1,3,0.8840326070785522,0.8840326070785522,-1.454457,-1.454457
307,why was andrew far wealthier than his brother ?,explicit,"but after her mother had gone , she found so many berries that she forgot to say her verse , and so she was enchanted and taken into the hill . and there no harm had been done her , save that she had lost the top joint of the little finger of her left hand , and the goblins had been kind to her ; yet it had always seemed to her as though something were not as it should be , she felt as though something weighed upon her , and she had suffered greatly from the advances of the dwarf who had been ch",they took along the schooner and all the gold and silver and all the treasure which had been left in the hut .,"he took along the schooner , and all the gold and silver and all the treasure .",andrew was a thief,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002614001903213825,"[0.2, 0.25, 0.3333333333333333, 0.5]",0.008651695203120634,0.17391304347826086,4,23,0.011715143759476299,"[0.2, 0.25, 0.3333333333333333, 0.5]",0.03877420783172201,0.23529411764705882,4,17,0.8525583148002625,0.8484017252922058,-1.426869,-1.4265298
308,what did the north wind offer to do when the king stands on the steps beside the door ?,explicit,"the king did as the north wind told him . he stationed himself on the steps ; and when the north wind came roaring and rushing up , and laid hold of the castle walls till they fairly shook , the prince came out to see what it was all about . but that very moment the king seized him by the collar , and threw him out , and the north wind took him and carried him off . when he had borne him away , the king went into the castle . at first the queen did not recognize him , for he had grown thin and p",come roaring up as though he were going to tear down the whole castle .,the north wind took him and carried him off .,None of the above choices,0.10526315789473682,0.0,0.10526315789473682,0.10526315789473682,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0369481680224917,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.1353352832366127,0.3333333333333333,5,15,0.10043553373039076,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.36787944117144233,0.5,5,10,0.8363559246063232,0.8271057605743408,-1.4495946,-1.3974345
309,how will the king feel when he hears of the jelly fish's failure ?,explicit,""" of course , i wo n't give you my liver , but come and get it if you can ! "" added the monkey mockingly from the tree . there was nothing for the jelly fish to do now but to repent of his stupidity , and to return to the dragon king of the sea and to confess his failure , so he started sadly and slowly to swim back . the last thing he heard as he glided away , leaving the island behind him , was the monkey laughing at him . meanwhile the dragon king , the doctor , the chief steward , and all th",angry .,very angry .,The king will feel dissatisfied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295748846661433,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",1.0,2.5,5,2,0.2295748846661433,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",1.0,1.6666666666666667,5,3,0.840133547782898,0.8677735328674316,-0.62550086,-0.44929755
310,why must one beware in dealing with ahti ?,explicit,"matte did not understand . he had never read kalevala and knew nothing of the sea gods of old , but the students proceeded to explain to him . ' ahti , ' said they , ' is a mighty king who lives in his dominion of ahtola , and has a rock at the bottom of the sea , and possesses besides a treasury of good things . he rules over all fish and animals of the deep ; he has the finest cows and the swiftest horses that ever chewed grass at the bottom of the ocean . he who stands well with ahti is soon ",he was very changeful and touchy .,he is very changeful and touchy .,He is very changeful and touchy,0.8333333333333334,0.6,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.5204069361525009,"[0.7142857142857143, 0.6666666666666666, 0.6, 0.5]",0.846481724890614,0.8571428571428571,6,7,0.6848940448305334,"[0.8571428571428571, 0.8333333333333334, 0.8, 0.75]",0.846481724890614,0.8571428571428571,6,7,0.971274197101593,0.9799431562423706,0.8652995,1.0823579
311,how did the prince find out where rose-red was ?,explicit,"two years passed , and the youth no longer thought of any danger . hence , when the flowers began to bloom in the spring , rose - red went driving in a small wagon outside the city , near the river . and there one of the prince 's servants saw her , and informed his master . the latter sent for the youth , who , since he could not conceal the matter , told him the whole story exactly as it had happened . said the prince : "" the whole blame rests on rose - red . i do not reproach you . yet since ","one of the prince 's servants saw her , and informed the prince .","one of the prince 's servants saw her , and informed his master .",He was driving in a small wagon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057461663912368725,"[0.125, 0.14285714285714285, 0.16666666666666666, 0.2]",0.36787944117144233,0.5,7,14,0.057461663912368725,"[0.125, 0.14285714285714285, 0.16666666666666666, 0.2]",0.36787944117144233,0.5,7,14,0.8452451229095459,0.837717592716217,-1.0093784,-1.062646
312,what happened after matte left to find his net ?,explicit,"' what can that be ? ' said the old woman , as she peeped out of the door . ' it looks like a big seal , ' said matte . ' as sure as i live , it 's a cow ! ' exclaimed maie . and certainly it was a cow , a fine red cow , fat and flourishing , and looking as if it had been fed all its days on spinach . it wandered peacefully up and down the shore , and never so much as even looked at the poor little tufts of grass , as if it despised such fare . matte could not believe his eyes . but a cow she se","he found it cast up on the shore , and so full of fish that not a mesh was visible .",he found his net full of fish .,matte left to seek for his lost net,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,0.026553759665708148,"[0.1111111111111111, 0.125, 0.14285714285714285, 0.16666666666666666]",0.19691167520419406,0.38095238095238093,8,21,0.17747405280050269,"[0.3333333333333333, 0.125, 0.14285714285714285, 0.16666666666666666]",1.0,1.0,8,8,0.8305384516716003,0.8708679676055908,-1.2527153,-1.291896
313,who did the princess commend herself to ?,explicit,"besides these , i want a cloak made of a thousand different kinds of skin ; every animal in your kingdom must give a bit of his skin to it . ' but she thought to herself , ' this will be quite impossible , and i shall not have to marry someone i do not care for . ' the king , however , was not to be turned from his purpose , and he commanded the most skilled maidens in his kingdom to weave the three dresses , one as golden as the sun , and one as silver as the moon , and one as shining as the st",god .,to god .,God,1.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.30934850332660563,"[0.5, 1.0, 1.0, 1.0]",0.36787944117144233,0.5,1,2,0.11380295453101374,"[0.5, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,1,3,0.9145916700363159,0.8434528112411499,0.75330997,-0.2167674
314,why did rose-red believe that tsui was intelligent ?,explicit,"and after no more time had elapsed than it takes to eat a meal he was back again and said : "" the dog is dead , and there is nothing further to hinder us ! "" at midnight they wrapped themselves in dark silk , and the old man carried the youth over the tenfold walls which surrounded the palace . they reached the third gateway and the gate stood ajar . then they saw the glow of a little lamp , and heard rose - red sigh deeply . the entire court was silent and deserted . the youth raised the curtai",he understood her sign language .,she thinks he understood her sign language .,None of the above choices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18796001821050234,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.8187307530779819,0.8333333333333334,5,6,0.1259933680597235,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.5488116360940264,0.625,5,8,0.8312517404556274,0.8329819440841675,-1.3946422,-1.4247643
315,what did maie want to possess ?,explicit,"but the herring were now ready , and the students ate enough for six , and gave prince some cold meat which they happened to have in the boat . prince sat on his hind legs with delight and mewed like a pussy cat . when all was finished , the students handed matte a shining silver coin , and allowed him to fill his pipe with a special kind of tobacco . they then thanked him for his kind hospitality and went on their journey , much regretted by prince , who sat with a woeful expression and whined ",a fairy cow .,a fairy cow .,A fairy cow,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5066641486392105,"[0.75, 0.6666666666666666, 0.5, 1.0]",0.7165313105737893,0.75,3,4,0.5066641486392105,"[0.75, 0.6666666666666666, 0.5, 1.0]",0.7165313105737893,0.75,3,4,0.9359612464904785,0.9359612464904785,0.80157465,0.80157465
316,where did the fox fling herself to take a little rest ?,explicit,"' the whole of this day i have listened to those village hens clucking till i could bear it no longer , ' murmured she as she bounded along , hardly seeming to touch the ground . ' when you are fond of fowls and eggs it is the sweetest of all music . as sure as there is a sun in heaven i will have some of them this night , for i have grown so thin that my very bones rattle , and my poor babies are crying for food . ' and as she spoke she reached a little plot of grass , where the two roads joine",a tree .,under a tree .,under a tree,0.8,0.6666666666666666,0.8,0.8,1.0,1.0,1.0,1.0,0.7071067811865475,"[0.75, 0.6666666666666666, 0.5, 1.0]",1.0,1.0,3,3,0.7165313105737893,"[1.0, 1.0, 1.0, 1.0]",0.7165313105737893,0.75,3,4,0.9048405885696411,0.9689075946807861,-0.19072393,0.81158686
317,what happened when the cottager came to the wedding celebration ?,explicit,"once upon a time there was a big wedding at a certain farmstead , and a certain cottager was on his way to the wedding - feast . as he chanced to cross a field , he found a milk - strainer , such as are usually made of cows ' tails , and looking just like an old brown rag . he picked it up , for he thought it could be washed , and then he would give it to his wife for a dish - rag . but when he came to the house where they were celebrating the wedding , it seemed as though no one saw him . the b",it seemed as though no one saw him .,it seemed as though no one saw him .,None of the above choices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1031546451143688,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.4493289641172217,0.5555555555555556,5,9,0.1031546451143688,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.4493289641172217,0.5555555555555556,5,9,0.8297338485717773,0.8297338485717773,-0.81277066,-0.81277066
318,what happened after the king returned to the cottage ?,explicit,"' one day , shortly after the death of the queen , ' continued the young man , ' your highness was hunting , and outstripped all your attendants while chasing the deer . you were in a part of the country which you did not know , so seeing an orchard all pink and white with apple - blossoms , and a girl tossing a ball in one corner , you went up to her to ask your way . but when she turned to answer you , you were so struck with her beauty that all else fled from your mind . again and again you r","it was empty , and none could inform his where his bride had gone .",it was empty .,The king returned to the cottage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04144655666113052,"[0.14285714285714285, 0.16666666666666666, 0.2, 0.25]",0.22313016014842982,0.4,6,15,0.18575057999133598,"[0.14285714285714285, 0.16666666666666666, 0.2, 0.25]",1.0,1.5,6,4,0.8454161882400513,0.8434874415397644,-1.1862727,-1.5857061
319,how did the jelly fish feel when he heard this ?,explicit,"the jelly fish was very disappointed when he heard this , for he believed every word the monkey said . the monkey was of no good without a liver . finally the jelly fish stopped and told the monkey so . "" well , "" said the monkey , "" that is soon remedied . i am really sorry to think of all your trouble ; but if you will only take me back to the place where you found me , i shall soon be able to get my liver . "" the jelly fish did not at all like the idea of going all the way back to the island ",disappointed .,very disappointed .,disappointed,1.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.36787944117144233,"[1.0, 1.0, 1.0, 1.0]",0.36787944117144233,0.5,1,2,0.1353352832366127,"[1.0, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,1,3,0.9120463132858276,0.8589553236961365,0.9171425,0.66207266
320,where did the poor woman live ?,explicit,"once upon a time there was a poor woman , who lived in a wretched hut far away from the village . she had but little to bite and less to burn , so she sent her little boy to the forest to gather wood . he skipped and leaped , and leaped and skipped , in order to keep warm , for it was a cold , gray autumn day , and whenever he had gathered a root or a branch to add to his bundle , he had to slap his arms against his shoulders , for the cold made his hands as red as the whortleberry bushes over w",in a wretched hut far away from the village .,lived in a wretched hut far away from the village .,In a wretched hut,0.6153846153846153,0.5454545454545454,0.6153846153846153,0.6153846153846153,0.5714285714285715,0.5,0.5714285714285715,0.5714285714285715,0.14921613134709885,"[0.8, 0.75, 0.6666666666666666, 0.5]",0.22313016014842982,0.4,4,10,0.11620963994000619,"[0.8, 0.75, 0.6666666666666666, 0.5]",0.17377394345044514,0.36363636363636365,4,11,0.9136661887168884,0.9185693860054016,0.185868,-0.17639959
321,why did the janet's husband want to eat the bannock ?,explicit,""" oh , janet , "" cried the goodman in surprise , "" here comes in a little bannock . it looks rare and good to eat . i 'll have one half of it . "" "" and i 'll have the other half , "" cried the goodwife . "" hit it over the back with your cloving - stick , sandy , and knock it down . quick , or it will be out at the door again . "" but the bannock played "" jook - about , "" and dodged behind a chair . "" hoot ! "" cried janet contemptuously , for she thought that her husband might easily have hit it , ",it looked rare and good .,it looks rare and good to eat .,He wanted to eat the bannock,0.0,0.0,0.0,0.0,0.30769230769230765,0.1818181818181818,0.30769230769230765,0.30769230769230765,0.18575057999133598,"[0.14285714285714285, 0.16666666666666666, 0.2, 0.25]",1.0,1.0,6,6,0.20830666398386113,"[0.42857142857142855, 0.3333333333333333, 0.2, 0.25]",0.7165313105737893,0.75,6,8,0.8430895209312439,0.8649151921272278,-1.2869563,-1.0534348
322,how did the janet's husband feel when it saw the bannock ?,explicit,""" oh , janet , "" cried the goodman in surprise , "" here comes in a little bannock . it looks rare and good to eat . i 'll have one half of it . "" "" and i 'll have the other half , "" cried the goodwife . "" hit it over the back with your cloving - stick , sandy , and knock it down . quick , or it will be out at the door again . "" but the bannock played "" jook - about , "" and dodged behind a chair . "" hoot ! "" cried janet contemptuously , for she thought that her husband might easily have hit it , ",surprised .,hungry .,He was relieved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4518010018049224,"[0.25, 0.3333333333333333, 0.5, 1.0]",1.0,1.5,3,2,0.4518010018049224,"[0.25, 0.3333333333333333, 0.5, 1.0]",1.0,1.5,3,2,0.8447839617729187,0.8436064124107361,-0.60521024,-1.602096
323,why did the happy hunter beg the king to not punish the tai ?,explicit,"ryn jin now desired to punish the tai , but the happy hunter begged him not to do so ; since his lost hook was thus happily recovered he did not wish to make more trouble for the poor tai . it was indeed the tai who had taken the hook , but he had already suffered enough for his fault , if fault it could be called . what had been done was done in heedlessness and not by intention . the happy hunter said he blamed himself ; if he had understood how to fish properly he would never have lost his ho",what had been done was done in heedlessness and not by intention .,since his lost hook was thus happily recovered .,None of the above choices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04635036983311895,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.20189651799465547,0.38461538461538464,5,13,0.1031546451143688,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.4493289641172217,0.5555555555555556,5,9,0.8205655813217163,0.8337432146072388,-0.6949241,-1.372573
324,what did the king do in the wood ?,explicit,"the sun rose and she still slept on and on , although it was nearly noon . now , it happened that the king to whom this wood belonged was hunting in it . when his dogs came to the tree , they sniffed , and ran round and round it , barking . the king said to the huntsmen , ' see what sort of a wild beast is in there . ' the huntsmen went in , and then came back and said , ' in the hollow tree there lies a wonderful animal that we do n't know , and we have never seen one like it ; its skin is made",hunt .,hunting in it .,The king hunted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4518010018049224,"[0.25, 0.3333333333333333, 0.5, 1.0]",1.0,1.5,3,2,0.32372956394183194,"[0.25, 0.3333333333333333, 0.5, 1.0]",0.7165313105737893,0.75,3,4,0.8424641489982605,0.8271493911743164,-0.5662479,-0.70262533
325,why did andrew hide himself ?,explicit,"on christmas eve andrew heard fiddles and music far out at sea ; and when he came out , he saw a glow of light that came from a great northland schooner , which was gliding toward the land -- yet such a ship he had never yet seen . it has a main - sail of uncommon size , which looked to him to be of silk , and the most delicate tackling , as thin as though woven of steel wire , and everything else was in proportion , as fine and handsome as any northlander might wish to have . the whole schooner",so that he could see all that passed in the hut .,so that he could see all that passed in the hut .,He wanted to see all that passed in the hut,0.761904761904762,0.631578947368421,0.761904761904762,0.761904761904762,0.761904761904762,0.631578947368421,0.761904761904762,0.761904761904762,0.5556318451261244,"[0.7272727272727273, 0.7, 0.6666666666666666, 0.625]",0.8187307530779819,0.8333333333333334,10,12,0.5556318451261244,"[0.7272727272727273, 0.7, 0.6666666666666666, 0.625]",0.8187307530779819,0.8333333333333334,10,12,0.9259836077690125,0.9259836077690125,0.55182403,0.55182403
326,why was the jelly fish troubled by the mission ?,explicit,"the chief steward thought for some time , and then , as if struck by a sudden thought , said joyfully : "" i know what we must do ! there is the kurage ( jelly fish ) . he is certainly ugly to look at , but he is proud of being able to walk on land with his four legs like a tortoise . let us send him to the island of monkeys to catch one . "" the jelly fish was then summoned to the king 's presence , and was told by his majesty what was required of him . the jelly fish , on being told of the unexp",he had never been to the island .,he had never been to the island in question .,None of the above choices,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14983220973977976,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.5488116360940264,0.625,5,8,0.10043553373039076,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.36787944117144233,0.5,5,10,0.8427896499633789,0.8484358191490173,-1.1960431,-1.0306946
327,what happened after the demon chief took the man's wen ?,explicit,""" you are very clever , "" said the demon chief , giving his horns an approving nod . then he stretched out a hairy arm and claw - like hand , and took the great lump from the old man 's right cheek . strange to say , it came off as easily as a ripe plum from the tree at the demon 's touch , and then the merry troop of demons suddenly vanished .",the merry troop of demons suddenly vanished .,the merry troop of demons suddenly vanished .,The demon chief took the man's wen,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.16102307266026747,"[0.25, 0.14285714285714285, 0.16666666666666666, 0.2]",0.8668778997501817,0.875,7,8,0.16102307266026747,"[0.25, 0.14285714285714285, 0.16666666666666666, 0.2]",0.8668778997501817,0.875,7,8,0.8697919249534607,0.8697919249534607,-1.1163546,-1.1163546
328,where did matte and maie live during the spring ?,explicit,"there was once a fisherman who was called salmon , and his christian name was matte . he lived by the shore of the big sea ; where else could he live ? he had a wife called maie ; could you find a better name for her ? in winter they dwelt in a little cottage by the shore , but in spring they flitted to a red rock out in the sea and stayed there the whole summer until it was autumn . the cottage on the rock was even smaller than the other ; it had a wooden bolt instead of an iron lock to the doo",a red rock out in the sea .,a red rock out in the sea .,the shore of the big sea,0.30769230769230765,0.0,0.30769230769230765,0.30769230769230765,0.30769230769230765,0.0,0.30769230769230765,0.30769230769230765,0.17516432701748888,"[0.42857142857142855, 0.16666666666666666, 0.2, 0.25]",0.7165313105737893,0.75,6,8,0.17516432701748888,"[0.42857142857142855, 0.16666666666666666, 0.2, 0.25]",0.7165313105737893,0.75,6,8,0.8761831521987915,0.8761831521987915,-1.1578432,-1.1578432
